Timestamp,Consumption,SensID,Token,FluksoID,SensType,Building,Type
2015-05-25 10:21:58,2926,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-26 18:54:43,2606,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-02 17:06:00,1400,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-09 00:54:02,1566,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-16 11:40:24,1504,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-09 09:57:33,1068,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-11 04:31:31,1285,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-14 05:19:57,1094,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-22 19:58:14,1046,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-30 10:15:53,1585,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-25 16:35:29,1268,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-10 07:00:40,2243,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-08 00:12:30,1169,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-14 07:05:32,1638,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-16 05:27:55,2787,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-22 04:43:45,2091,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-12 21:36:24,2408,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-05 17:56:44,2978,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-07 10:18:02,2174,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-18 01:47:11,1297,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-07 18:26:04,1568,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-31 20:13:05,1823,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-29 04:43:52,1440,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-05 14:07:31,1128,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-01 19:59:31,2085,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-31 08:17:29,1903,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-29 04:16:36,1226,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-14 03:35:27,2081,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-14 22:30:27,2778,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-15 09:41:11,2497,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-22 13:48:12,2635,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-25 03:15:19,2839,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-10 14:51:21,2746,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-30 05:38:39,2949,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-05 01:02:45,2423,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-04 17:15:04,2006,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-16 20:05:54,2607,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-05 15:39:07,1061,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-13 14:33:45,2904,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-22 02:08:51,2351,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-12 14:18:58,2636,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-21 21:39:52,1667,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-22 08:52:36,1613,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-04 09:20:43,1477,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-03 21:03:30,2251,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-21 19:02:57,2339,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-13 17:46:15,2199,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-13 12:57:56,2274,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-19 07:30:08,1761,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-11 18:11:13,1160,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-09 04:04:10,1942,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-27 02:41:26,2001,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-08 13:20:36,2485,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-24 21:47:52,1758,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-04 09:39:20,1233,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-27 14:13:55,1821,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-11 17:05:36,2064,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-07-24 18:55:28,1634,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-06 20:57:15,1616,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-08 08:28:46,1123,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-06 06:39:09,2154,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-20 18:39:02,1452,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-29 08:32:03,2474,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-02 00:48:52,1706,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-11 19:24:12,1904,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-10 16:13:50,1582,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-12 11:09:49,1331,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-10 10:23:59,1439,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-24 12:07:43,2109,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-03-11 00:16:32,1468,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-20 19:02:34,2960,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-27 08:58:11,1826,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-20 22:16:05,2454,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-02 13:02:14,1942,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-08-18 21:59:47,1329,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-05-31 15:02:44,1788,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-06-18 01:38:50,2427,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
2015-04-09 05:25:31,1594,0eaSDIJEs,,FL0062234,El,G01Libertad,Cafe
