Timestamp,Consumption,SensorID,SensorToken,FluksoID,SensorType,BuildingName,BuildingType
2015-07-23 08:00:00,7900.384615384615,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 09:00:00,7731.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 10:00:00,8609.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 11:00:00,20905.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 12:00:00,17956.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 13:00:00,17557.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 14:00:00,10832.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 15:00:00,8636.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 16:00:00,10846.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 17:00:00,21283.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 18:00:00,17863.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 19:00:00,22574.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 20:00:00,26339.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 21:00:00,21273.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
2015-07-23 22:00:00,19728.0,6d3dbbc57b62c389a6102b3330946e17,ad523ae5a597007039473b6692c4db03,FL03001142,Electricity,G09 Casa Mia,Restaurant
